24|7|aan kommentti|kommnetin sisltält|
1|3|Otsikon tiedot 1259|Lorem ipsum dolor sit amet, consectetur adipiscing elit. 2706|
2|3|Otsikon tiedot 7767|Lorem ipsum dolor sit amet, consectetur adipiscing elit. 9359|
3|3|Otsikon tiedot 2171|Lorem ipsum dolor sit amet, consectetur adipiscing elit. 6114|
4|2|Otsikon tiedot 3804|Lorem ipsum dolor sit amet, consectetur adipiscing elit. 7219|
5|2|Otsikon tiedot 9363|Lorem ipsum dolor sit amet, consectetur adipiscing elit. 4662|
7|5|Otsikon tiedot 7771|Lorem ipsum dolor sit amet, consectetur adipiscing elit. 9534|
8|5|Otsikon tiedot 8816|Lorem ipsum dolor sit amet, consectetur adipiscing elit. 9371|
9|1|Otsikon tiedot 4549|Lorem ipsum dolor sit amet, consectetur adipiscing elit. 2024|
10|1|Otsikon tiedot 3980|Lorem ipsum dolor sit amet, consectetur adipiscing elit. 3629|
11|1|Otsikon tiedot 1716|Lorem ipsum dolor sit amet, consectetur adipiscing elit. 9663|
12|1|Otsikon tiedot 5476|Lorem ipsum dolor sit amet, consectetur adipiscing elit. 5524|
13|2|Otsikon tiedot 7924|Lorem ipsum dolor sit amet, consectetur adipiscing elit. 6640|
14|4|Otsikon tiedot 1333|Lorem ipsum dolor sit amet, consectetur adipiscing elit. 3644|
15|4|Otsikon tiedot 9129|Lorem ipsum dolor sit amet, consectetur adipiscing elit. 1574|
16|4|Otsikon tiedot 4214|Lorem ipsum dolor sit amet, consectetur adipiscing elit. 9193|
17|1|Otsikon tiedot 1946|Lorem ipsum dolor sit amet, consectetur adipiscing elit. 4102|
18|8|Otsikon tiedot 6585|Lorem ipsum dolor sit amet, consectetur adipiscing elit. 4133|
19|8|Otsikon tiedot 6382|Lorem ipsum dolor sit amet, consectetur adipiscing elit. 1910|
20|8|Otsikon tiedot 5878|Lorem ipsum dolor sit amet, consectetur adipiscing elit. 7711|
21|8|Otsikon tiedot 9371|Lorem ipsum dolor sit amet, consectetur adipiscing elit. 4977|
6|1|123|123|
22|1|testikommentti|tähän|
23|1|uusi kommentti|asd|
25|7|||
